최종순위,채널ID,채널명,대표상위세그먼트,대표하위세그먼트,구독자수,한국채널추정여부,최근평균조회수,최근평균참여율,최근라이브비율,채널력점수,성장성점수,팬밀도점수,라이브친화점수,실전성점수,최종점수,액션버킷,치지직활동여부,SOOP활동여부,타플랫폼활동여부,최종제외여부,최근30일_업로드수,최근30일_평균조회수,최근30일_평균참여율,최근30일_라이브비율,직전30일_업로드수,직전30일_평균조회수,직전30일_평균참여율,직전30일_라이브비율,최근7일_업로드수,최근7일_평균조회수,최근7일_평균참여율,최근7일_라이브비율,직전7일_업로드수,직전7일_평균조회수,직전7일_평균참여율,직전7일_라이브비율,30일_조회수성장률,30일_참여율성장률,30일_업로드수성장률,30일_라이브비율차이,7일_조회수성장률,7일_참여율성장률,7일_업로드수성장률,7일_라이브비율차이,성장성수집영상수,30일_조회수성장률_pct,30일_참여율성장률_pct,30일_업로드수성장률_pct,7일_조회수성장률_pct,7일_참여율성장률_pct,성장성점수_proxy_raw,성장성신뢰도,성장성점수_proxy,성장성신뢰도등급
16,UCtnMq-EHLgo_OJqgLaDfSJA,꿀쏭,창작·비주얼형,코스프레,1770.0,1,75.0,0.0056818181818181,0.0,0.811810064935065,,0.9415584415584416,0.5857683982683982,1.0,0.8349431818181818,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
17,UCze07yPlnaT9OeEW0OkHFtQ,sechan,음악·보이스형,보컬로이드JPOP커버,1960.0,1,575.0,0.0095104895104895,0.0,0.8678165584415584,,0.8777056277056277,0.5857683982683982,1.0,0.8323277417027416,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
18,UCOAOudX476tI9w1HCCFqbNg,노콩 NOKONG,버츄얼 퍼포먼스형,버튜버,1600.0,1,2194.5,0.0128705274126364,0.0,0.7815340909090909,0.9661112151282528,0.8138528138528138,0.5530256306025328,1.0,0.8233283745629193,즉시검토,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
19,UCd0miJuNLuASFJkjIuLcO9g,보니샵,창작·비주얼형,일러스트리깅,1610.0,1,1101.3333333333333,0.0078383309861009,0.0,0.8010010822510822,,0.9096320346320348,0.5857683982683982,1.0,0.8206980519480519,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
20,UCRv369Cg_qg57Gy89uuLopg,일터뷰 쇼츠,음악·보이스형,ASMR보이스,1430.0,1,251.0,0.0004668534080298,0.0,0.7133522727272728,,0.9908008658008658,0.5857683982683982,1.0,0.8185380591630591,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
21,UCZGtGUjjCFxNUNGwkrA9ewQ,Vivid Voyages,창작·비주얼형,코스프레,1640.0,1,1795.1,0.0056105082477715,0.0,0.7612824675324675,,0.9420995670995672,0.5857683982683982,1.0,0.8182810245310246,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
22,UC3F9Z33neMELIP0o_CP56ng,먹숏2디아,창작·비주얼형,코스프레,44200.0,1,568.2,0.006145473754322,0.0,0.753612012987013,,0.935064935064935,0.5857683982683982,1.0,0.813379329004329,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
23,UC6W3FebZmtQFnJmVlMPbf2A,겨울,창작·비주얼형,코스프레,1250.0,1,277.3333333333333,0.0117474302496328,0.0,0.8496482683982685,,0.8382034632034632,0.5857683982683982,1.0,0.8131042568542569,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
24,UCr0pTjwr9HtANseAH08DtKQ,Lumiel Aria,음악·보이스형,애니송커버,1120.0,1,899.5,0.0135944694732026,0.0,0.8806412337662339,,0.7997835497835498,0.5857683982683982,1.0,0.8106286075036074,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
25,UCb5jRWg_DQDmgreTNyiztfQ,CJ온스타일 라이브쇼,창작·비주얼형,코스프레,115000.0,1,1063.5,0.0021285775011578,0.0,0.7009063852813853,,0.9783549783549784,0.5857683982683982,1.0,0.8102408008658007,성장관찰,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,낮음
